53.518178418823,-113.44084145881,T6B 0G2,7326 82 Ave,Healthcare
53.547083843542,-113.4862351502,,10365 97 St NW,Public Service
53.549157346594,-113.61412152915,,10461 170 St,Shopping
53.343068,-113.521733,T9E 7X7,611 22 Ave,Transportation
53.70375902799,-113.1985669167,,,Shopping
53.522673,-113.62285,T5T 4M2,1410-8882 170th Street Northwest,Healthcare
53.5989,-113.569758,T5L 5E8,14245 137th Avenue NW,Arts & Entertainment
53.527452287822,-113.52841473514,,University of Alberta,Association & Orginization
53.515727294508,-113.60906871224,,,53.605336120091,-113.4452189759,,,Education
53.413254048716,-113.78776537049,,,Parks
53.459643004524,-113.42627369066,T6L 7H6,104 Youville Dr East,Public Service
53.567568462452,-113.50230486348,,NAIT HP Centre,Resturant
53.527441558118,-113.52868775716,,University Of Alberta,Education
53.539318922353,-113.50125076065,,,Arts & Entertainment
53.527752674179,-113.5242158536,,Chemistry Centre,Education
53.585166,-113.467308,,12722 82 st,Association & Orginization
53.541774899202,-113.50122478288,T5J 1C9,10132 105 St NW,Arts & Entertainment
53.592262831051,-113.46721529961,T5E 6J6,C/O Delton RPO,Association & Orginization
53.56446,-113.43826,,,Association & Orginization
54.153261,-113.8805,T7P 2M7,10003 94A Avenue,Transportation
53.5139601,-113.4406438,T6B 2P5,6803 78th Avenue NW,Financial Association & Orginization
53.582848,-113.428797,T5W 1V3,5620 125A Ave NW,Association & Orginization
53.541860543122,-113.37613223762,,,Association & Orginization
53.597654255025,-113.53003752446,T5L 3Z2,12108 - 135A Avenue,Association & Orginization
53.542392730713,-113.51019287109,,,Association & Orginization Shopping Resturant
53.529025,-113.523618,,,Transportation
53.505034,-113.437933,T6B 3T6,7223 68 Ave NW,Association & Orginization
53.46408767297,-113.48836183548,T6N 1G7,10104 32 Ave NW,Arts & Entertainment
53.447618379341,-113.43010425568,T6L 1N2,,Accomodation
53.545542,-113.994141,,,Accomodation
53.453166,-113.524652,T6J 5R4,815 Saddleback Road NW,Shopping
53.356609940529,-113.41112494469,T4X 1K2,4801 55 Ave,Education
53.5538,-113.6155,,,Arts & Entertainment
53.589987,-113.529084,T5E 5N9,13027 120th St,Association & Orginization
53.274192,-113.541939,T9E 7B3,6-5907 45 St,Association & Orginization
53.508,-113.353,T6P 1N5,1215 70 ave,Accomodation
53.272651360724,-113.54915276923,T9E 8E3,5901 50th St, Bay 6,Financial Association & Orginization
53.59396,-113.492805,,134,Art's & Entertainment
53.522786,-113.626868,,1410 West Edmonton Mall,Healthcare
53.567396136373,-113.50547203188,,,Education
53.672409,-113.245472,,,Shopping
53.54582,-113.50801,T5J 1N3,400-10357 109 St NW,Financial Association & Orginization
53.568456887665,-113.45573366052,,,Association & Orginization
